"name","url"
"Hunter, Sir William Wilson","https://en.wikipedia.org/wiki/William_Wilson_Hunter"
"Hunter, William","https://en.wikipedia.org/wiki/William_Hunter_(statistician)"
"Hutchinson, Col","https://en.wikipedia.org/wiki/Col_Hutchinson"
"Huzurbazar, V. S.","https://en.wikipedia.org/wiki/V._S._Huzurbazar"
"Ihaka, Ross","https://en.wikipedia.org/wiki/Ross_Ihaka"
"Iman, Ronald L.","https://en.wikipedia.org/wiki/Ronald_L._Iman"
"Irwin, Joseph Oscar","https://en.wikipedia.org/wiki/Joseph_Oscar_Irwin"
"Ishikawa, Kaoru","https://en.wikipedia.org/wiki/Kaoru_Ishikawa"
"Isserlis, Leon","https://en.wikipedia.org/wiki/Leon_Isserlis"
"Jacoby, Oswald","https://en.wikipedia.org/wiki/Oswald_Jacoby"
"Jaffrey, Thomas","https://en.wikipedia.org/wiki/Thomas_Jaffrey"
"James, Bill","https://en.wikipedia.org/wiki/Bill_James"
"Jaynes, Edwin Thompson","https://en.wikipedia.org/wiki/Edwin_Thompson_Jaynes"
"Jefferys, William H.","https://en.wikipedia.org/wiki/William_H._Jefferys"
"Jeffreys, Harold","https://en.wikipedia.org/wiki/Harold_Jeffreys"
"Jellinek, E. Morton","https://en.wikipedia.org/wiki/E._Morton_Jellinek"
"Jenkins, Gwilym","https://en.wikipedia.org/wiki/Gwilym_Jenkins"
"Jevons, William Stanley","https://en.wikipedia.org/wiki/William_Stanley_Jevons"
"Jobson, Alexander","https://en.wikipedia.org/wiki/Alexander_Jobson"
"Johnson, Norman Lloyd","https://en.wikipedia.org/wiki/Norman_Lloyd_Johnson"
"Johnston, Robert Mackenzie","https://en.wikipedia.org/wiki/Robert_Mackenzie_Johnston"
"Jones, Edward","https://en.wikipedia.org/wiki/Edward_Jones_(statistician)"
"Jones-Loyd, Samuel","https://en.wikipedia.org/wiki/Samuel_Jones-Loyd,_1st_Baron_Overstone"
"Jordan, Michael I.","https://en.wikipedia.org/wiki/Michael_I._Jordan"
"Jöreskog, Karl Gustav","https://en.wikipedia.org/wiki/Karl_Gustav_J%C3%B6reskog"
"Jouffret, Esprit","https://en.wikipedia.org/wiki/Esprit_Jouffret"
"Juran, Joseph M.","https://en.wikipedia.org/wiki/Joseph_M._Juran"
"Jurin, James","https://en.wikipedia.org/wiki/James_Jurin"
"Kac, Mark","https://en.wikipedia.org/wiki/Mark_Kac"
"Kempthorne, Oscar","https://en.wikipedia.org/wiki/Oscar_Kempthorne"
"Kendall, David George","https://en.wikipedia.org/wiki/David_George_Kendall"
"Kendall, Sir Maurice","https://en.wikipedia.org/wiki/Maurice_Kendall"
"Kennedy, Joseph C. G.","https://en.wikipedia.org/wiki/Joseph_C._G._Kennedy"
"Khattree, Ravindra","https://en.wikipedia.org/wiki/Ravindra_Khattree"
"Khmaladze, Estate V.","https://en.wikipedia.org/wiki/Estate_V._Khmaladze"
"Kiefer, Jack","https://en.wikipedia.org/wiki/Jack_Kiefer_(mathematician)"
"Kiær, Anders Nicolai","https://en.wikipedia.org/wiki/Anders_Nicolai_Ki%C3%A6r"
"King, Gregory","https://en.wikipedia.org/wiki/Gregory_King"
"King, Willford I.","https://en.wikipedia.org/wiki/Willford_I._King"
